	iid	bam	sex
136	PTN308	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN308/trimmed_bam/PTN308_ss.A0101_udghalf.trimmed.bam	m
137	PTN155	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN155/trimmed_bam/PTN155_ss.A0101_udghalf.trimmed.bam	m
138	PTN119	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN119/trimmed_bam/PTN119_ss.B0101_udghalf.trimmed.bam	m
139	PTN443	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN443/trimmed_bam/PTN443_ss.B0101_udghalf.trimmed.bam	m
140	PTN143	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN143/trimmed_bam/PTN143_ss.A0101_udghalf.trimmed.bam	m
141	PTN335	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN335/trimmed_bam/PTN335_ss.B0101_udghalf.trimmed.bam	m
142	PTN238	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN238/merged_bams/initial/PTN238_ss_udghalf_libmerged_rmdup.bam	m
143	PTN301	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN301/trimmed_bam/PTN301_ss.A0101_udghalf.trimmed.bam	m
144	PTN200	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN200/merged_bams/initial/PTN200_ss_udghalf_libmerged_rmdup.bam	m
145	PTN220	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN220/merged_bams/initial/PTN220_ss_udghalf_libmerged_rmdup.bam	m
146	PTN213	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN213/merged_bams/initial/PTN213_ss_udghalf_libmerged_rmdup.bam	m
147	PTN436	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN436/trimmed_bam/PTN436_ss.A0101_udghalf.trimmed.bam	m
148	PTN095	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN095/trimmed_bam/PTN095_ss.B0101_udghalf.trimmed.bam	m
149	PTN469	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN469/trimmed_bam/PTN469_ss.B0101_udghalf.trimmed.bam	m
150	PTN215	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN215/merged_bams/initial/PTN215_ss_udghalf_libmerged_rmdup.bam	m
