iid	bam	sex
KKH028	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH028/trimmed_bam/KKH028_ss.A0101_udghalf.trimmed.bam	f
BMG001	/mnt/archgen/Autorun_eager/eager_outputs/SG/BMG/BMG001/merged_bams/additional/BMG001_ss_libmerged_add.bam	m
PTN307	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN307/trimmed_bam/PTN307_ss.A0101_udghalf.trimmed.bam	f
PTN286	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN286/trimmed_bam/PTN286_ss.A0101_udghalf.trimmed.bam	m
PTN240	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN240/merged_bams/initial/PTN240_ss_udghalf_libmerged_rmdup.bam	m
PTN430	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN430/trimmed_bam/PTN430_ss.B0101_udghalf.trimmed.bam	f
PTN414	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN414/trimmed_bam/PTN414_ss.B0101_udghalf.trimmed.bam	f
PTN036	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN036/merged_bams/additional/PTN036_ss_libmerged_add.bam	f
PTN453	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN453/trimmed_bam/PTN453_ss.A0101_udghalf.trimmed.bam	f
PTN349	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN349/trimmed_bam/PTN349_ss.A0101_udghalf.trimmed.bam	m
PTN340	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN340/trimmed_bam/PTN340_ss.B0101_udghalf.trimmed.bam	m
PTN284	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN284/trimmed_bam/PTN284_ss.A0101_udghalf.trimmed.bam	m
WSQ001	/mnt/archgen/Autorun_eager/eager_outputs/SG/WSQ/WSQ001/trimmed_bam/WSQ001_ss.B0101_udghalf.trimmed.bam	m
KKH011	/mnt/archgen/Autorun_eager/eager_outputs/SG/KKH/KKH011/merged_bams/initial/KKH011_ss_udghalf_libmerged_rmdup.bam	f
PTN359	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN359/trimmed_bam/PTN359_ss.A0101_udghalf.trimmed.bam	m
PTN438	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN438/trimmed_bam/PTN438_ss.A0101_udghalf.trimmed.bam	f
PTN103	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN103/trimmed_bam/PTN103_ss.A0101_udghalf.trimmed.bam	m
PTN401	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN401/trimmed_bam/PTN401_ss.A0101_udghalf.trimmed.bam	m
PTN363	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN363/trimmed_bam/PTN363_ss.A0101_udghalf.trimmed.bam	f
PTN412	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN412/trimmed_bam/PTN412_ss.A0101_udghalf.trimmed.bam	m
PTN184	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN184/merged_bams/initial/PTN184_ss_udghalf_libmerged_rmdup.bam	f
PTN354	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN354/trimmed_bam/PTN354_ss.B0101_udghalf.trimmed.bam	f
PTN160	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN160/trimmed_bam/PTN160_ss.A0101_udghalf.trimmed.bam	m
PTN233	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN233/merged_bams/initial/PTN233_ss_udghalf_libmerged_rmdup.bam	f
PTN137	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN137/trimmed_bam/PTN137_ss.A0101_udghalf.trimmed.bam	f
PTN400	/mnt/archgen/Autorun_eager/eager_outputs/SG/PTN/PTN400/trimmed_bam/PTN400_ss.A0101_udghalf.trimmed.bam	f
